trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999995000000417}",25,0,-48.41221149229881,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999980000006666}",20,0,-117.57487205109808,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.999995500003375}",35,14,-128.11928893204535,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.9999920000106667}",25,0,-171.1496999146771,"{0: 8, 1: 6, 2: 9, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9999875000260416}",20,0,-84.54288924026636,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.999982000054}",20,0,-139.7927243301482,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9999755001000415}",25,0,-242.2696826891078,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9999680001706663}",25,5,-92.09737849448935,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.9999595002733742}",25,0,-113.90421429077944,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9999500004166653}",30,2,-69.81356992015608,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.9999395006100392}",20,0,-122.36480557945545,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-96.57938024510929,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9999155011900349}",25,0,-90.5920919077161,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9999020016006562}",20,0,-116.45752576238537,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,0,-79.39003880642997,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9998720027306434}",20,0,-160.6081306942986,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9998555034800082}",20,0,-121.76860530480131,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9998380043739528}",20,0,-149.13275527663197,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9998195054299763}",25,0,-50.13107458697772,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9998000066665778}",20,1,-54.6659896778183,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.9997795081032559}",20,0,-118.68505204086938,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9997580097605092}",20,0,-92.92554590404953,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9997355116598361}",25,0,-137.11696600790359,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9997120138237345}",20,0,-23.16881190335011,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9996875162757026}",20,0,-91.14543497048845,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9996620190402377}",20,1,-135.6010715563423,"{0: 7, 1: 5, 2: 4, 3: 2, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.9996355221428369}",25,0,-203.0468910531111,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.9996080256099974}",25,0,-96.28366072366137,"{0: 12, 1: 9, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9995795294692156}",25,0,-29.312965151996817,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,0,-175.84533087406456,"{0: 10, 1: 1, 2: 4, 3: 3, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.999519538478809}",20,16,8.617516678117351,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.9994880436891754}",20,6,-50.62954209720004,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.9994555494115813}",20,0,-130.752876453958,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.9994220556785212}",20,0,-92.592128715626,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9993875625234886}",30,0,-96.24088920030451,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9993520699809768}",25,0,-143.80335012831537,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.9993155780864782}",20,0,-133.23148755621565,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9992780868764849}",20,0,-119.07722016752138,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.999239596388488}",25,0,-72.64319640327766,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9992001066609779}",25,0,-42.582785035942024,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.9991596177334445}",25,0,-142.1303338700512,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.9991181296463766}",25,0,-91.56205346567502,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9990756424412622}",20,0,-56.89464267306093,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9990321561605888}",20,0,-135.65847605354278,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9989876708478425}",25,0,-99.30125923557911,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9989421865475084}",20,0,-97.45779535040683,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9988957033050712}",30,0,-121.5143631440466,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9988482211670138}",20,2,-88.05570503303811,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.9987997401808185}",25,0,-202.25959118258638,"{0: 13, 1: 0, 2: 7, 3: 3, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.9987502603949663}",30,0,-139.38425238023254,"{0: 16, 1: 3, 2: 10, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9986997818589368}",25,0,-155.6830981984233,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9986483046232089}",25,0,-157.0812028604245,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9985958287392593}",20,4,-107.90599662412532,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 2}",1
54,False,"{'a': 0.5, 'e': 0.9985423542595644}",20,0,-120.25828276434363,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.9984878812375985}",20,0,-43.33425539728343,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.9984324097278344}",20,0,-112.36591796033723,"{0: 10, 1: 8, 2: 0, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.9983759397857438}",25,0,-98.05032453052124,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9983184714677966}",30,0,-143.97768067609135,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.9982600048314613}",35,0,-187.40484584364523,"{0: 20, 1: 1, 2: 10, 3: 3, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-176.36521028557968,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.9981400768384904}",20,5,-72.56236384980284,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.9980786156017829}",25,0,-158.1537294156464,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9980161562865429}",25,0,-137.60398418667606,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
