trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.22186101947777,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.37639645097893,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.76500246458123,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,6,-60.90206607792839,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.9880070191721,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.97293495021406,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.79699188837401,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.16550003325283,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-130.55026591701673,"{0: 25, 1: 3, 2: 2, 3: 4, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.4376109597014,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.6363942884915,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-186.7144187486382,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.54775910815063,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-208.70269358254396,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-262.6275425869226,"{0: 19, 1: 6, 2: 3, 3: 3, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.28117208030112,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.4213539339039,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.09982791576032,"{0: 15, 1: 7, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.33573268785568,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-102.65268977718087,"{0: 21, 1: 4, 2: 2, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-10.24905255249003,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.19363443476504,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-174.02746267981547,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-301.0053287915871,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-152.13756438811194,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.2821108657235,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-273.4082672147249,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 5}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,2,-201.69067309121735,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 3}",1
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-134.15513777207687,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-73.82408810017655,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
